ts,symbol,bid,ask
2018-07-04T21:00:00Z,USDJPY,110.48,110.516
2018-07-05T21:00:00Z,AUDCAD,0.9697,0.9702
2018-07-05T21:00:00Z,AUDCHF,0.73335,0.73433
2018-07-05T21:00:00Z,AUDJPY,81.692,81.767
2018-07-05T21:00:00Z,AUDNZD,1.08806,1.08877
2018-07-05T21:00:00Z,CADCHF,0.75605,0.7574
2018-07-05T21:00:00Z,EURAUD,1.5824,1.58287
2018-07-05T21:00:00Z,EURCHF,1.16088,1.16154
2018-07-05T21:00:00Z,EURGBP,0.88381,0.88481
2018-07-05T21:00:00Z,EURJPY,129.272,129.379
2018-07-05T21:00:00Z,EURUSD,1.16898,1.16919
2018-07-05T21:00:00Z,GBPCHF,1.31211,1.31454
2018-07-05T21:00:00Z,GBPJPY,146.263,146.406
2018-07-05T21:00:00Z,GBPNZD,1.9474,1.9482
2018-07-05T21:00:00Z,GBPUSD,1.32205,1.32219
2018-07-05T21:00:00Z,NZDCAD,0.8909,0.89145
2018-07-05T21:00:00Z,NZDCHF,0.6736,0.675
2018-07-05T21:00:00Z,NZDJPY,75.041,75.107
2018-07-05T21:00:00Z,NZDUSD,0.67856,0.67893
2018-07-05T21:00:00Z,USDCAD,1.31306,1.31337
2018-07-05T21:00:00Z,USDCHF,0.99309,0.99423
2018-07-05T21:00:00Z,USDJPY,110.589,110.698
2018-07-07T21:00:00Z,AUDCAD,0.97229,0.97293
2018-07-07T21:00:00Z,AUDCHF,0.7353,0.73565
2018-07-07T21:00:00Z,AUDJPY,82.054,82.09
2018-07-07T21:00:00Z,AUDNZD,1.08604,1.08661
2018-07-07T21:00:00Z,CADCHF,0.75595,0.75644
2018-07-07T21:00:00Z,EURAUD,1.58041,1.5812
2018-07-07T21:00:00Z,EURCHF,1.16241,1.16289
2018-07-07T21:00:00Z,EURGBP,0.88357,0.884
2018-07-07T21:00:00Z,EURJPY,129.701,129.766
2018-07-07T21:00:00Z,EURUSD,1.17422,1.17456
2018-07-07T21:00:00Z,GBPCHF,1.31514,1.31585
2018-07-07T21:00:00Z,GBPJPY,146.727,146.859
2018-07-07T21:00:00Z,GBPNZD,1.94237,1.94359
2018-07-07T21:00:00Z,GBPUSD,1.32856,1.329
2018-07-07T21:00:00Z,NZDCAD,0.895,0.89564
2018-07-07T21:00:00Z,NZDCHF,0.67687,0.67721
2018-07-07T21:00:00Z,NZDJPY,75.526,75.574
2018-07-07T21:00:00Z,NZDUSD,0.68375,0.68399
2018-07-07T21:00:00Z,USDCAD,1.30888,1.30957
2018-07-07T21:00:00Z,USDCHF,0.98986,0.99015
2018-07-07T21:00:00Z,USDJPY,110.449,110.499
2018-07-08T21:00:00Z,AUDCAD,0.97255,0.97369
2018-07-08T21:00:00Z,AUDCHF,0.73571,0.73689
2018-07-08T21:00:00Z,AUDJPY,82.055,82.129
2018-07-08T21:00:00Z,AUDNZD,1.08693,1.08802
2018-07-08T21:00:00Z,CADCHF,0.75562,0.75755
2018-07-08T21:00:00Z,EURAUD,1.57981,1.58103
2018-07-08T21:00:00Z,EURCHF,1.16185,1.16336
2018-07-08T21:00:00Z,EURGBP,0.88118,0.88216
2018-07-08T21:00:00Z,EURJPY,129.584,129.689
2018-07-08T21:00:00Z,EURUSD,1.17402,1.17447
2018-07-08T21:00:00Z,GBPCHF,1.3187,1.32032
2018-07-08T21:00:00Z,GBPJPY,147.072,147.21
2018-07-08T21:00:00Z,GBPNZD,1.94688,1.94903
2018-07-08T21:00:00Z,GBPUSD,1.33177,1.3325
2018-07-08T21:00:00Z,NZDCAD,0.89476,0.89571
2018-07-08T21:00:00Z,NZDCHF,0.67626,0.67805
2018-07-08T21:00:00Z,NZDJPY,75.482,75.571
2018-07-08T21:00:00Z,NZDUSD,0.68385,0.68418
2018-07-08T21:00:00Z,USDCAD,1.30872,1.30918
2018-07-08T21:00:00Z,USDCHF,0.98888,0.99014
2018-07-08T21:00:00Z,USDJPY,110.411,110.447
2018-07-09T21:00:00Z,AUDCAD,0.97838,0.97871
2018-07-09T21:00:00Z,AUDCHF,0.74018,0.74038
2018-07-09T21:00:00Z,AUDJPY,82.751,82.767
2018-07-09T21:00:00Z,AUDNZD,1.0915,1.09218
2018-07-09T21:00:00Z,CADCHF,0.75635,0.75655
2018-07-09T21:00:00Z,EURAUD,1.57371,1.57412
2018-07-09T21:00:00Z,EURCHF,1.16506,1.16525
2018-07-09T21:00:00Z,EURGBP,0.88625,0.88652
2018-07-09T21:00:00Z,EURJPY,130.251,130.257
2018-07-09T21:00:00Z,EURUSD,1.17501,1.17516
2018-07-09T21:00:00Z,GBPCHF,1.31421,1.31478
2018-07-09T21:00:00Z,GBPJPY,146.933,146.984
2018-07-09T21:00:00Z,GBPNZD,1.93825,1.93971
2018-07-09T21:00:00Z,GBPUSD,1.3256,1.32595
2018-07-09T21:00:00Z,NZDCAD,0.89596,0.89645
2018-07-09T21:00:00Z,NZDCHF,0.67771,0.67811
2018-07-09T21:00:00Z,NZDJPY,75.773,75.808
2018-07-09T21:00:00Z,NZDUSD,0.68361,0.68395
2018-07-09T21:00:00Z,USDCAD,1.31067,1.31078
2018-07-09T21:00:00Z,USDCHF,0.99144,0.99161
2018-07-09T21:00:00Z,USDJPY,110.846,110.849
2018-07-10T21:00:00Z,AUDCAD,0.97789,0.97858
2018-07-10T21:00:00Z,AUDCHF,0.73972,0.7401
2018-07-10T21:00:00Z,AUDJPY,82.784,82.815
2018-07-10T21:00:00Z,AUDNZD,1.09064,1.09142
2018-07-10T21:00:00Z,CADCHF,0.75625,0.75659
2018-07-10T21:00:00Z,EURAUD,1.57401,1.57478
2018-07-10T21:00:00Z,EURCHF,1.16485,1.16505
2018-07-10T21:00:00Z,EURGBP,0.88454,0.88486
2018-07-10T21:00:00Z,EURJPY,130.352,130.371
2018-07-10T21:00:00Z,EURUSD,1.17441,1.1745
2018-07-10T21:00:00Z,GBPCHF,1.31641,1.31706
2018-07-10T21:00:00Z,GBPJPY,147.318,147.383
2018-07-10T21:00:00Z,GBPNZD,1.94096,1.94231
2018-07-10T21:00:00Z,GBPUSD,1.32738,1.32765
2018-07-10T21:00:00Z,NZDCAD,0.89634,0.89685
2018-07-10T21:00:00Z,NZDCHF,0.67805,0.67825
2018-07-10T21:00:00Z,NZDJPY,75.879,75.908
2018-07-10T21:00:00Z,NZDUSD,0.68371,0.68383
2018-07-10T21:00:00Z,USDCAD,1.31117,1.31151
2018-07-10T21:00:00Z,USDCHF,0.9918,0.99194
2018-07-10T21:00:00Z,USDJPY,110.996,111.004
2018-07-11T21:00:00Z,AUDCAD,0.97294,0.97327
2018-07-11T21:00:00Z,AUDCHF,0.73364,0.73378
2018-07-11T21:00:00Z,AUDJPY,82.512,82.534
2018-07-11T21:00:00Z,AUDNZD,1.08973,1.09019
2018-07-11T21:00:00Z,CADCHF,0.7539,0.75408
2018-07-11T21:00:00Z,EURAUD,1.58435,1.58466
2018-07-11T21:00:00Z,EURCHF,1.16306,1.1633
2018-07-11T21:00:00Z,EURGBP,0.88396,0.88417
2018-07-11T21:00:00Z,EURJPY,130.734,130.753
2018-07-11T21:00:00Z,EURUSD,1.16726,1.16737
2018-07-11T21:00:00Z,GBPCHF,1.31476,1.31531
2018-07-11T21:00:00Z,GBPJPY,147.88,147.951
2018-07-11T21:00:00Z,GBPNZD,1.95318,1.95434
2018-07-11T21:00:00Z,GBPUSD,1.3203,1.32053
2018-07-11T21:00:00Z,NZDCAD,0.8926,0.89295
2018-07-11T21:00:00Z,NZDCHF,0.6729,0.6731
2018-07-11T21:00:00Z,NZDJPY,75.68,75.714
2018-07-11T21:00:00Z,NZDUSD,0.6758,0.67598
2018-07-11T21:00:00Z,USDCAD,1.32089,1.32122
2018-07-11T21:00:00Z,USDCHF,0.9959,0.996
2018-07-11T21:00:00Z,USDJPY,112.014,112.028
2018-07-12T21:00:00Z,AUDCAD,0.97435,0.97465
2018-07-12T21:00:00Z,AUDCHF,0.74249,0.74268
2018-07-12T21:00:00Z,AUDJPY,83.365,83.387
2018-07-12T21:00:00Z,AUDNZD,1.09243,1.09326
2018-07-12T21:00:00Z,CADCHF,0.76195,0.7621
2018-07-12T21:00:00Z,EURAUD,1.57514,1.57557
2018-07-12T21:00:00Z,EURCHF,1.1697,1.16985
2018-07-12T21:00:00Z,EURGBP,0.88358,0.88376
2018-07-12T21:00:00Z,EURJPY,131.342,131.367
2018-07-12T21:00:00Z,EURUSD,1.16703,1.16717
2018-07-12T21:00:00Z,GBPCHF,1.32349,1.32407
2018-07-12T21:00:00Z,GBPJPY,148.587,148.672
2018-07-12T21:00:00Z,GBPNZD,1.94721,1.94905
2018-07-12T21:00:00Z,GBPUSD,1.32043,1.3208
2018-07-12T21:00:00Z,NZDCAD,0.89136,0.89201
2018-07-12T21:00:00Z,NZDCHF,0.67918,0.6797
2018-07-12T21:00:00Z,NZDJPY,76.269,76.324
2018-07-12T21:00:00Z,NZDUSD,0.67774,0.67808
